,PolicyID,TechID,NewSEC,NewAvailability
0,0,10,0,0
1,0,20,0,0
2,0,25,0,0
3,0,26,0,0
4,0,30,0,0
5,0,40,0,0
6,0,50,0,0
7,0,60,0,0
8,0,70,0,0
9,0,80,0,0
10,0,81,0,0
11,0,82,0,0
12,0,83,0,0
13,0,84,0,0
14,0,85,0,0
15,0,86,0,0
16,0,87,0,0
17,0,90,0,0
18,0,91,0,0
19,0,92,0,0
20,0,93,0,0
21,0,94,0,0
22,0,95,0,0
23,0,96,0,0
24,0,97,0,0
25,0,98,0,0
26,0,100,0,0
27,0,110,0,0
28,0,120,0,0
29,0,130,0,0
30,0,140,0,0
31,0,150,0,0
32,0,160,0,0
33,0,161,0,0
34,0,162,0,0
35,0,163,0,0
36,0,164,0,0
37,0,165,0,0
38,0,166,0,0
39,0,167,0,0
40,0,168,0,0
41,0,170,0,0
42,0,171,0,0
43,0,172,0,0
44,0,173,0,0
45,0,174,0,0
46,0,175,0,0
47,0,176,0,0
48,0,177,0,0
49,0,181,0,0
50,0,190,0,0
51,0,191,0,0
52,0,192,0,0
53,0,193,0,0
54,0,194,0,0
55,0,195,0,0
56,0,196,0,0
57,0,197,0,0
58,0,198,0,0
59,0,200,0,0
60,0,201,0,0
61,0,202,0,0
62,0,203,0,0
63,0,204,0,0
64,0,205,0,0
65,0,206,0,0
66,0,210,0,0
67,0,220,0,0
68,0,230,0,0
69,0,240,0,0
70,0,245,0,0
71,0,250,0,0
72,0,251,0,0
73,0,252,0,0
74,0,253,0,0
75,0,254,0,0
76,0,255,0,0
77,0,256,0,0
78,0,257,0,0
79,0,260,0,0
80,0,261,0,0
81,0,265,0,0
82,0,266,0,0
83,0,267,0,0
84,0,268,0,0
85,0,269,0,0
86,0,270,0,0
87,0,271,0,0
88,0,272,0,0
89,0,273,0,0
90,0,275,0,0
91,0,276,0,0
92,0,277,0,0
93,0,278,0,0
94,0,280,0,0
95,0,290,0,0
96,0,291,0,0
97,0,292,0,0
98,0,295,0,0
99,0,300,0,0
100,0,302,0,0
101,0,305,0,0
102,0,310,0,0
103,0,320,0,0
104,0,321,0,0
105,0,322,0,0
106,0,323,0,0
107,0,324,0,0
108,0,325,0,0
109,0,326,0,0
110,0,327,0,0
111,0,330,0,0
112,0,340,0,0
113,0,350,0,0
114,0,351,0,0
115,0,360,0,0
116,0,361,0,0
117,0,362,0,0
118,0,363,0,0
119,0,364,0,0
120,0,365,0,0
121,0,366,0,0
122,0,367,0,0
123,0,368,0,0
124,0,369,0,0
125,0,370,0,0
126,0,371,0,0
127,0,372,0,0
128,0,373,0,0
129,0,375,0,0
130,0,376,0,0
131,0,377,0,0
132,0,378,0,0
133,0,380,0,0
134,0,381,0,0
135,0,385,0,0
136,0,386,0,0
137,0,387,0,0
138,0,388,0,0
139,0,389,0,0
140,0,390,0,0
141,0,391,0,0
142,0,392,0,0
143,0,393,0,0
144,0,400,0,0
145,0,401,0,0
146,0,402,0,0
147,0,403,0,0
148,0,404,0,0
149,0,405,0,0
150,0,406,0,0
151,0,407,0,0
152,0,410,0,0
153,0,411,0,0
154,0,412,0,0
155,0,413,0,0
156,0,414,0,0
157,0,415,0,0
158,0,416,0,0
159,0,417,0,0
160,0,418,0,0
161,0,420,0,0
162,0,421,0,0
163,0,422,0,0
164,0,423,0,0
165,0,424,0,0
166,0,425,0,0
167,0,430,0,0
168,0,431,0,0
169,0,432,0,0
170,0,433,0,0
171,0,434,0,0
172,0,435,0,0
173,0,436,0,0
174,0,437,0,0
175,0,438,0,0
176,0,439,0,0
177,0,440,0,0
178,0,441,0,0
179,0,442,0,0
180,0,443,0,0
181,0,444,0,0
