,CountryID,PolicyID,TechID,Year,PriceFactor
0,9,0,10,2012,1
1,9,0,10,2013,1
2,9,0,10,2014,1
3,9,0,10,2015,1
4,9,0,10,2016,1
5,9,0,10,2017,1
6,9,0,10,2018,1
7,9,0,10,2019,1
8,9,0,10,2020,1
9,9,0,10,2021,1
10,9,0,10,2022,1
11,9,0,10,2023,1
12,9,0,10,2024,1
13,9,0,10,2025,1
14,9,0,10,2026,1
15,9,0,10,2027,1
16,9,0,10,2028,1
17,9,0,10,2029,1
18,9,0,10,2030,1
19,9,0,10,2031,1
20,9,0,10,2032,1
21,9,0,10,2033,1
22,9,0,10,2034,1
23,9,0,10,2035,1
24,9,0,10,2036,1
25,9,0,10,2037,1
26,9,0,10,2038,1
27,9,0,10,2039,1
28,9,0,10,2040,1
29,9,0,10,2041,1
30,9,0,10,2042,1
31,9,0,10,2043,1
32,9,0,10,2044,1
33,9,0,10,2045,1
34,9,0,10,2046,1
35,9,0,10,2047,1
36,9,0,10,2048,1
37,9,0,10,2049,1
38,9,0,10,2050,1
39,9,0,10,2051,1
40,9,0,10,2052,1
41,9,0,10,2053,1
42,9,0,10,2054,1
43,9,0,10,2055,1
44,9,0,10,2056,1
45,9,0,10,2057,1
46,9,0,10,2058,1
47,9,0,10,2059,1
48,9,0,10,2060,1
49,9,0,10,2061,1
50,9,0,10,2062,1
51,9,0,10,2063,1
52,9,0,10,2064,1
53,9,0,10,2065,1
54,9,0,10,2066,1
55,9,0,10,2067,1
56,9,0,10,2068,1
57,9,0,10,2069,1
58,9,0,10,2070,1
59,9,0,10,2071,1
60,9,0,10,2072,1
61,9,0,10,2073,1
62,9,0,10,2074,1
63,9,0,10,2075,1
64,9,0,10,2076,1
65,9,0,10,2077,1
66,9,0,10,2078,1
67,9,0,10,2079,1
68,9,0,10,2080,1
69,9,0,10,2081,1
70,9,0,10,2082,1
71,9,0,10,2083,1
72,9,0,10,2084,1
73,9,0,10,2085,1
74,9,0,10,2086,1
75,9,0,10,2087,1
76,9,0,10,2088,1
77,9,0,10,2089,1
78,9,0,10,2090,1
79,9,0,10,2091,1
80,9,0,10,2092,1
81,9,0,10,2093,1
82,9,0,10,2094,1
83,9,0,10,2095,1
84,9,0,10,2096,1
85,9,0,10,2097,1
86,9,0,10,2098,1
87,9,0,10,2099,1
88,9,0,10,2100,1
89,9,0,20,2012,1
90,9,0,20,2013,1
91,9,0,20,2014,1
92,9,0,20,2015,1
93,9,0,20,2016,1
94,9,0,20,2017,1
95,9,0,20,2018,1
96,9,0,20,2019,1
97,9,0,20,2020,1
98,9,0,20,2021,1
99,9,0,20,2022,1
100,9,0,20,2023,1
101,9,0,20,2024,1
102,9,0,20,2025,1
103,9,0,20,2026,1
104,9,0,20,2027,1
105,9,0,20,2028,1
106,9,0,20,2029,1
107,9,0,20,2030,1
108,9,0,20,2031,1
109,9,0,20,2032,1
110,9,0,20,2033,1
111,9,0,20,2034,1
112,9,0,20,2035,1
113,9,0,20,2036,1
114,9,0,20,2037,1
115,9,0,20,2038,1
116,9,0,20,2039,1
117,9,0,20,2040,1
118,9,0,20,2041,1
119,9,0,20,2042,1
120,9,0,20,2043,1
121,9,0,20,2044,1
122,9,0,20,2045,1
123,9,0,20,2046,1
124,9,0,20,2047,1
125,9,0,20,2048,1
126,9,0,20,2049,1
127,9,0,20,2050,1
128,9,0,20,2051,1
129,9,0,20,2052,1
130,9,0,20,2053,1
131,9,0,20,2054,1
132,9,0,20,2055,1
133,9,0,20,2056,1
134,9,0,20,2057,1
135,9,0,20,2058,1
136,9,0,20,2059,1
137,9,0,20,2060,1
138,9,0,20,2061,1
139,9,0,20,2062,1
140,9,0,20,2063,1
141,9,0,20,2064,1
142,9,0,20,2065,1
143,9,0,20,2066,1
144,9,0,20,2067,1
145,9,0,20,2068,1
146,9,0,20,2069,1
147,9,0,20,2070,1
148,9,0,20,2071,1
149,9,0,20,2072,1
150,9,0,20,2073,1
151,9,0,20,2074,1
152,9,0,20,2075,1
153,9,0,20,2076,1
154,9,0,20,2077,1
155,9,0,20,2078,1
156,9,0,20,2079,1
157,9,0,20,2080,1
158,9,0,20,2081,1
159,9,0,20,2082,1
160,9,0,20,2083,1
161,9,0,20,2084,1
162,9,0,20,2085,1
163,9,0,20,2086,1
164,9,0,20,2087,1
165,9,0,20,2088,1
166,9,0,20,2089,1
167,9,0,20,2090,1
168,9,0,20,2091,1
169,9,0,20,2092,1
170,9,0,20,2093,1
171,9,0,20,2094,1
172,9,0,20,2095,1
173,9,0,20,2096,1
174,9,0,20,2097,1
175,9,0,20,2098,1
176,9,0,20,2099,1
177,9,0,20,2100,1
178,9,0,25,2012,1
179,9,0,25,2013,1
180,9,0,25,2014,1
181,9,0,25,2015,1
182,9,0,25,2016,1
183,9,0,25,2017,1
184,9,0,25,2018,1
185,9,0,25,2019,1
186,9,0,25,2020,1
187,9,0,25,2021,1
188,9,0,25,2022,1
189,9,0,25,2023,1
190,9,0,25,2024,1
191,9,0,25,2025,1
192,9,0,25,2026,1
193,9,0,25,2027,1
194,9,0,25,2028,1
195,9,0,25,2029,1
196,9,0,25,2030,1
197,9,0,25,2031,1
198,9,0,25,2032,1
199,9,0,25,2033,1
200,9,0,25,2034,1
201,9,0,25,2035,1
202,9,0,25,2036,1
203,9,0,25,2037,1
204,9,0,25,2038,1
205,9,0,25,2039,1
206,9,0,25,2040,1
207,9,0,25,2041,1
208,9,0,25,2042,1
209,9,0,25,2043,1
210,9,0,25,2044,1
211,9,0,25,2045,1
212,9,0,25,2046,1
213,9,0,25,2047,1
214,9,0,25,2048,1
215,9,0,25,2049,1
216,9,0,25,2050,1
217,9,0,25,2051,1
218,9,0,25,2052,1
219,9,0,25,2053,1
220,9,0,25,2054,1
221,9,0,25,2055,1
222,9,0,25,2056,1
223,9,0,25,2057,1
224,9,0,25,2058,1
225,9,0,25,2059,1
226,9,0,25,2060,1
227,9,0,25,2061,1
228,9,0,25,2062,1
229,9,0,25,2063,1
230,9,0,25,2064,1
231,9,0,25,2065,1
232,9,0,25,2066,1
233,9,0,25,2067,1
234,9,0,25,2068,1
235,9,0,25,2069,1
236,9,0,25,2070,1
237,9,0,25,2071,1
238,9,0,25,2072,1
239,9,0,25,2073,1
240,9,0,25,2074,1
241,9,0,25,2075,1
242,9,0,25,2076,1
243,9,0,25,2077,1
244,9,0,25,2078,1
245,9,0,25,2079,1
246,9,0,25,2080,1
247,9,0,25,2081,1
248,9,0,25,2082,1
249,9,0,25,2083,1
250,9,0,25,2084,1
251,9,0,25,2085,1
252,9,0,25,2086,1
253,9,0,25,2087,1
254,9,0,25,2088,1
255,9,0,25,2089,1
256,9,0,25,2090,1
257,9,0,25,2091,1
258,9,0,25,2092,1
259,9,0,25,2093,1
260,9,0,25,2094,1
261,9,0,25,2095,1
262,9,0,25,2096,1
263,9,0,25,2097,1
264,9,0,25,2098,1
265,9,0,25,2099,1
266,9,0,25,2100,1
267,9,0,26,2020,1
268,9,0,26,2021,1
269,9,0,26,2022,1
270,9,0,26,2023,1
271,9,0,26,2024,1
272,9,0,26,2025,1
273,9,0,26,2026,1
274,9,0,26,2027,1
275,9,0,26,2028,1
276,9,0,26,2029,1
277,9,0,26,2030,1
278,9,0,26,2031,1
279,9,0,26,2032,1
280,9,0,26,2033,1
281,9,0,26,2034,1
282,9,0,26,2035,1
283,9,0,26,2036,1
284,9,0,26,2037,1
285,9,0,26,2038,1
286,9,0,26,2039,1
287,9,0,26,2040,1
288,9,0,26,2041,1
289,9,0,26,2042,1
290,9,0,26,2043,1
291,9,0,26,2044,1
292,9,0,26,2045,1
293,9,0,26,2046,1
294,9,0,26,2047,1
295,9,0,26,2048,1
296,9,0,26,2049,1
297,9,0,26,2050,1
298,9,0,26,2051,1
299,9,0,26,2052,1
300,9,0,26,2053,1
301,9,0,26,2054,1
302,9,0,26,2055,1
303,9,0,26,2056,1
304,9,0,26,2057,1
305,9,0,26,2058,1
306,9,0,26,2059,1
307,9,0,26,2060,1
308,9,0,26,2061,1
309,9,0,26,2062,1
310,9,0,26,2063,1
311,9,0,26,2064,1
312,9,0,26,2065,1
313,9,0,26,2066,1
314,9,0,26,2067,1
315,9,0,26,2068,1
316,9,0,26,2069,1
317,9,0,26,2070,1
318,9,0,26,2071,1
319,9,0,26,2072,1
320,9,0,26,2073,1
